WACC,Terminal Growth,Equity Value
0.07,0.02,135277.7504283666
0.07,0.025,146861.45410464815
0.07,0.030000000000000002,161341.08370000013
0.07500000000000001,0.02,123805.57412684086
0.07500000000000001,0.025,133108.04924976252
0.07500000000000001,0.030000000000000002,144477.7410666668
0.08000000000000002,0.02,114246.16754113355
0.08000000000000002,0.025,121855.66727698196
0.08000000000000002,0.030000000000000002,130987.06696000005
0.08500000000000002,0.02,106158.10593938743
0.08500000000000002,0.025,112479.04361716822
0.08500000000000002,0.030000000000000002,119949.24269090916
0.09000000000000002,0.02,99226.0863824693
0.09000000000000002,0.025,104545.30303671423
0.09000000000000002,0.030000000000000002,110751.05580000003
