Scenario,WACC,Terminal Growth,PV of FCFF,PV of Terminal Value,Enterprise Value,Equity Value,2026 Revenue,2026 EBIT,2026 FCFF,Terminal % of EV
Bear,0.07404000000000001,0.025,2363.34518639902,39398.79215306879,49985.858828092365,59556.858828092365,279363.52499999997,2514.2717250000023,2538.3272640000037,0.7881987641457993
Base,0.07404000000000001,0.025,5652.306569587726,99923.16651341796,125960.12589197505,135531.12589197507,283492.05,5386.3489500000005,6070.803348000001,0.7932920502089152
Bull,0.07404000000000001,0.025,10696.91484209154,200361.9641658569,251031.44519152955,260602.44519152955,287620.57499999995,9779.099549999999,11488.914417,0.798154844756547
